S	Y	n	time
1.2071	1.2071	31802	4502
1.2071	1.2071	31270	4340
1.2071	1.2071	33834	4768
1.2071	1.2071	34254	4833
1.2071	1.2071	32986	4674
1.2071	1.2071	32518	4574
1.2071	1.2071	33914	4748
1.2071	1.2071	32938	4557
1.20711	1.20711	34422	4865
1.20711	1.20711	34394	4848
1.20711	1.20711	36038	5097
1.20711	1.20711	35314	4995
1.20711	1.20711	35382	4989
1.20711	1.20711	37726	5301
1.20711	1.20711	38042	5355
1.20711	1.20711	37366	5247
1.20711	1.20711	37314	5240
1.20711	1.20711	37818	5267
1.20711	1.20711	38262	5402
1.20711	1.20711	38590	5479
1.20711	1.20711	41786	5853
1.20711	1.20711	38826	5239
1.20711	1.20711	41550	5821
1.20711	1.20711	41250	5593
1.20711	1.20711	42502	5821
1.20711	1.20711	41518	5673
1.20711	1.20711	45650	6282
1.20711	1.20711	43782	6349
1.20711	1.20711	44774	6723
1.20711	1.20711	44998	7000
1.20711	1.20711	43634	6901
1.20711	1.20711	45378	7286
1.20711	1.20711	47282	7746
1.20711	1.20711	47930	8024
1.20711	1.20711	49106	8064
1.20711	1.20711	48270	7861
1.20711	1.20711	49378	8109
1.20711	1.20711	53074	8737
1.20711	1.20711	51586	8622
1.20711	1.20711	52850	8787
1.20711	1.20711	53250	8953
1.20711	1.20711	52798	8808
1.20711	1.20711	56090	9153
1.20711	1.20711	55074	9175
1.20711	1.20711	55206	9226
1.20711	1.20711	59082	9888
1.20711	1.20711	59926	10084
1.20711	1.20711	61310	10258
1.20711	1.20711	61542	10102
1.20711	1.20711	60074	9914
1.20711	1.20711	61274	10018
1.20711	1.20711	65002	10599
1.20711	1.20711	64658	10274
1.20711	1.20711	64914	10310
1.20711	1.20711	70642	11216
1.20711	1.20711	67374	10705
1.20711	1.20711	71190	11284
1.20711	1.20711	73358	11604
1.20711	1.20711	73502	11557
1.20711	1.20711	75266	11939
1.20711	1.20711	78022	10984
1.20711	1.20711	76774	10166
1.20711	1.20711	80250	10635
1.20711	1.20711	82950	11314
1.20711	1.20711	87594	11779
1.20711	1.20711	93498	12722
1.20711	1.20711	91694	12461
1.20711	1.20711	93398	13220
1.20711	1.20711	98718	14363
1.20711	1.20711	101958	14719
1.20711	1.20711	101706	14076
1.20711	1.20711	110970	15869
1.20711	1.20711	109318	15713
1.20711	1.20711	112066	16045
1.20711	1.20711	118006	16885
1.20711	1.20711	122666	17476
1.20711	1.20711	129166	18385
1.20711	1.20711	134430	19165
1.20711	1.20711	138662	19775
1.20711	1.20711	151782	21621
1.20711	1.20711	159858	22303
1.20711	1.20711	168098	23854
1.20711	1.20711	177622	25384
1.20711	1.20711	193958	27638
1.20711	1.20711	200270	28439
1.20711	1.20711	204710	29199
1.20711	1.20711	220990	30707
1.20711	1.20711	234078	33477
1.20711	1.20711	260214	37308
1.20711	1.20711	288714	40659
1.20711	1.20711	309578	42922
1.20711	1.20711	361790	50200
1.20711	1.20711	376766	52237
1.20711	1.20711	429270	59848
1.20711	1.20711	491234	68932
1.20711	1.20711	611154	84841
1.20711	1.20711	753254	101990
1.20711	1.20711	981462	133703
1.20711	1.20711	1493174	202282
1.20711	1.20711	2799962	380314
