S	Y	n	time
1.2071	1.2071	31802	4570
1.2071	1.2071	31270	4601
1.2071	1.2071	33834	4753
1.2071	1.2071	34254	5066
1.2071	1.2071	32986	4791
1.2071	1.2071	32518	4741
1.2071	1.2071	33914	4945
1.2071	1.2071	32938	4620
1.20711	1.20711	34422	4997
1.20711	1.20711	34394	5044
1.20711	1.20711	36038	5277
1.20711	1.20711	35314	5184
1.20711	1.20711	35382	5229
1.20711	1.20711	37726	5422
1.20711	1.20711	38042	5315
1.20711	1.20711	37366	5218
1.20711	1.20711	37314	5261
1.20711	1.20711	37818	5364
1.20711	1.20711	38262	5359
1.20711	1.20711	38590	5332
1.20711	1.20711	41786	6016
1.20711	1.20711	38826	5509
1.20711	1.20711	41550	5827
1.20711	1.20711	41250	5879
1.20711	1.20711	42502	6044
1.20711	1.20711	41518	5840
1.20711	1.20711	45650	6334
1.20711	1.20711	43782	6149
1.20711	1.20711	44774	6511
1.20711	1.20711	44998	6610
1.20711	1.20711	43634	6409
1.20711	1.20711	45378	6658
1.20711	1.20711	47282	6933
1.20711	1.20711	47930	7029
1.20711	1.20711	49106	7203
1.20711	1.20711	48270	7069
1.20711	1.20711	49378	7249
1.20711	1.20711	53074	7766
1.20711	1.20711	51586	7489
1.20711	1.20711	52850	7412
1.20711	1.20711	53250	7458
1.20711	1.20711	52798	7417
1.20711	1.20711	56090	7786
1.20711	1.20711	55074	7818
1.20711	1.20711	55206	7893
1.20711	1.20711	59082	8156
1.20711	1.20711	59926	8428
1.20711	1.20711	61310	8635
1.20711	1.20711	61542	8695
1.20711	1.20711	60074	8412
1.20711	1.20711	61274	8578
1.20711	1.20711	65002	9054
1.20711	1.20711	64658	9020
1.20711	1.20711	64914	9093
1.20711	1.20711	70642	9922
1.20711	1.20711	67374	9584
1.20711	1.20711	71190	9904
1.20711	1.20711	73358	10180
1.20711	1.20711	73502	10315
1.20711	1.20711	75266	10581
1.20711	1.20711	78022	10881
1.20711	1.20711	76774	10808
1.20711	1.20711	80250	11059
1.20711	1.20711	82950	11403
1.20711	1.20711	87594	12263
1.20711	1.20711	93498	12879
1.20711	1.20711	91694	12620
1.20711	1.20711	93398	12863
1.20711	1.20711	98718	13713
1.20711	1.20711	101958	14053
1.20711	1.20711	101706	14176
1.20711	1.20711	110970	15393
1.20711	1.20711	109318	14942
1.20711	1.20711	112066	15303
1.20711	1.20711	118006	16114
1.20711	1.20711	122666	16791
1.20711	1.20711	129166	17612
1.20711	1.20711	134430	18613
1.20711	1.20711	138662	19365
1.20711	1.20711	151782	21095
1.20711	1.20711	159858	21918
1.20711	1.20711	168098	23073
1.20711	1.20711	177622	24311
1.20711	1.20711	193958	26491
1.20711	1.20711	200270	27427
1.20711	1.20711	204710	27946
1.20711	1.20711	220990	30170
1.20711	1.20711	234078	31979
1.20711	1.20711	260214	35535
1.20711	1.20711	288714	39566
1.20711	1.20711	309578	42569
1.20711	1.20711	361790	49417
1.20711	1.20711	376766	51446
1.20711	1.20711	429270	58712
1.20711	1.20711	491234	67119
1.20711	1.20711	611154	83394
1.20711	1.20711	753254	102885
1.20711	1.20711	981462	134199
1.20711	1.20711	1493174	205106
1.20711	1.20711	2799962	382679
